"Note: All codes are participants perceptions. That means e.g. ""only exceptional hackers can get into account"" means that this was what participants believed, not what was actually the case.",,,,,
First Level Folders,First Level Codes,Second Level Folders/codes,Third Level Folders/codes,Forth Level Codes,Description
Online Privacy Perceptions,keeping relationships private,,,,Keeping personal relationships private.
Online Privacy Perceptions,personal information private,,,,Keeping personal information private.
Online Privacy Perceptions,to express whatever you want,,,,Valuing the freedom to express oneself online without restrictions.
Online Safety Perceptions,,,,,
Online Safety Perceptions,being comfortable,,,,Feeling comfortable and secure online.
Online Safety Perceptions,control over how content is used,,,,Having control over how your content is used by others.
Online Safety Perceptions,defining safe,,,,Defining what a safe online environment means.
Online Safety Perceptions,freedom of expression,,,,Valuing the freedom of expression without fear of negative consequences.
Online Safety Perceptions,no impersonations,,,,The absence of impersonation.
Online Safety Perceptions,powerful justice system,,,,Trust in a powerful justice system to protect online safety.
Online Safety Perceptions,privacy intact,,,,Maintaining online privacy intact.
Online Safety Perceptions,safe from hate/bullying/stalking,,,,"Being safe from hate, bullying, and stalking."
Online Safety Perceptions,share opinion without neg. consequences,,,,Feeling able to share opinions without facing negative consequences.
Perceived Threats/ Concerns,,,,,
Perceived Threats/ Concerns,_able to protect against threats,,,,Recognizing the ability to protect oneself against threats.
Perceived Threats/ Concerns,_inevitable threat to cc,,,,Acknowledging the inevitability of threats faced by content creators.
Perceived Threats/ Concerns,_unable to protect against threats,,,,Understanding the challenges in protecting against threats.
Perceived Threats/ Concerns,_unique threat to cc,,,,Recognizing unique threats specific to content creators.
Perceived Threats/ Concerns,Account hijacking (2),,,,Understanding the risks and challenges associated with account hijacking.
Perceived Threats/ Concerns,Account hijacking (2),C_someone might hack,,,Concerns about the possibility of someone hacking into the account.
Perceived Threats/ Concerns,Account hijacking (2),T_hacking/banning/account takeover,,,"Worries about hacking, banning, or account takeovers."
Perceived Threats/ Concerns,Authorities being inconsiderate (2),,,,
Perceived Threats/ Concerns,Authorities being inconsiderate (2),C_mistrust authorities,,,Mistrust of authorities' consideration of content creators' experiences.
Perceived Threats/ Concerns,Content misuse (2),,,,
Perceived Threats/ Concerns,Content misuse (2),T_content misuse,,,Content was misused
Perceived Threats/ Concerns,Content misuse (2),T_content theft,,,Content was stolen
Perceived Threats/ Concerns,Content misuse (2),T_fake accounts,,,fake accounts were created
Perceived Threats/ Concerns,Content misuse (2),T_impersonation,,,Impersonation was carried out
Perceived Threats/ Concerns,Harrassment (2),,,,
Perceived Threats/ Concerns,Harrassment (2),C_getting more hate in future,,,Concerns about receiving increased hate in the future.
Perceived Threats/ Concerns,Harrassment (2),C_might face the neg experiences again,,,Worries about facing negative experiences again as a content creator.
Perceived Threats/ Concerns,Harrassment (2),hate because of type of audience,,,Fears of encountering hate due to the type of audience attracted.
Perceived Threats/ Concerns,Harrassment (2),T_harassment,,,The experience or threat of harassment.
Perceived Threats/ Concerns,Harrassment (2),T_hate,,,Dealing with or fearing hate directed towards the content creator.
Perceived Threats/ Concerns,Harrassment (2),T_men contributing to bad experiences of female creators,,,Acknowledging the role men may play in contributing to negative experiences faced by female creators.
Perceived Threats/ Concerns,Impacting social relationships (2),,,,
Perceived Threats/ Concerns,Impacting social relationships (2),C_close ones affected by hate,,,Close relationships affected by the hate or negativity experienced as a content creator.
Perceived Threats/ Concerns,Impacting social relationships (2),C_jealousy,,,Jealousy as a factor affecting social relationships.
Perceived Threats/ Concerns,Negative impacts of controversial content,,,,
Perceived Threats/ Concerns,Negative impacts of controversial content,C_controversial content,,,The negative impact of creating controversial content.
Perceived Threats/ Concerns,not wanting people in life to see content,,,,A reluctance to have people in one's personal life see their controversial content.
Perceived Threats/ Concerns,Physical/offline experiences (2),,,,
Perceived Threats/ Concerns,Physical/offline experiences (2),C_experiencing offline hate,,,Encountering offline hate directed at the content creator.
Perceived Threats/ Concerns,Physical/offline experiences (2),C_people reaching house,,,Concerns about individuals physically reaching the content creator's house.
Perceived Threats/ Concerns,Physical/offline experiences (2),C_someone might harm them,,,Fears of potential harm to the content creator.
Perceived Threats/ Concerns,Physical/offline experiences (2),T_death threats,,,Experiencing or fearing death threats in the offline world.
Perceived Threats/ Concerns,Physical/offline experiences (2),T_people showing up at house,,,Dealing with individuals showing up at the content creator's house.
Perceived Threats/ Concerns,Physical/offline experiences (2),T_physical damage,,,Experiencing or fearing physical harm or damage.
Perceived Threats/ Concerns,Physical/offline experiences (2),T_physical threat beating,,,"Facing threats or incidents of physical violence, including assault or beating."
Perceived Threats/ Concerns,Physical/offline experiences (2),T_rape,,,Fearing or experiencing the threat of rape in physical/offline situations.
Perceived Threats/ Concerns,Privacy invasion (2),,,,
Perceived Threats/ Concerns,Privacy invasion (2),C_comment on personal things,,,Concerns related to comments on personal matters infringing on privacy.
Perceived Threats/ Concerns,Privacy invasion (2),C_freedom of speech,,,Balancing privacy with the freedom of speech.
Perceived Threats/ Concerns,Privacy invasion (2),C_having to share address with brands,,,Uncomfortable situations where personal addresses are shared with brands.
Perceived Threats/ Concerns,Privacy invasion (2),C_privacy,,,The importance of preserving personal privacy.
Perceived Threats/ Concerns,Privacy invasion (2),"people accessing private information (address, etc)",,,Worries about people accessing private information such as addresses and more.
Perceived Threats/ Concerns,Rapid advancement of tech,,,,
Perceived Threats/ Concerns,Rapid advancement of tech,C_rapid advancement in tech (e.g. deepfakes) and hate/harassment becomes more prevailent,,,Rapid advancement of technology and its role in the proliferation of issues like deepfakes and increased hate and harassment online.
Perceived Threats/ Concerns,Reputation (2),,,,
Perceived Threats/ Concerns,Reputation (2),T_people spreading rumors,,,Dealing with people spreading rumors about the content creator.
Perceived Threats/ Concerns,Reputation (2),T_reputation damage,,,Experiencing damage to one's reputation as a content creator.
Perceived Threats/ Concerns,Social threat,,,,
Perceived Threats/ Concerns,Social threat,C_angering influential people,,,Concerns about angering influential individuals due to content.
Perceived Threats/ Concerns,Social threat,C_content/post might lead to inviting more hate towards own community,,,Fears that certain content or posts may attract more hate towards the creator's community.
Perceived Threats/ Concerns,Stalking (2),,,,
Perceived Threats/ Concerns,Stalking (2),T_stalking,,,threatened about stalking
Perceived Threats/ Concerns,Work-related (2),,,,
Perceived Threats/ Concerns,Work-related (2),C_audience following for the wrong reasons,,,"Concerns about an audience following the content creator for the wrong reasons, possibly impacting their work."
Perceived Threats/ Concerns,Work-related (2),C_career damage,,,Worries about potential career damage and its effects on the content creator's profession.
Pos. Experiences,,,,,
Pos. Experiences,affects relationships,,,,Affects relationships positively.
Pos. Experiences,attention,,,,Attracts attention.
Pos. Experiences,broadens perspective/knowledge,,,,Broadens perspective and knowledge.
Pos. Experiences,decision making power/ independence,,,,Grants decision-making power and independence.
Pos. Experiences,enjoyment,,,,Provides enjoyment.
Pos. Experiences,fame,,,,Brings fame.
Pos. Experiences,financial independence,,,,Enables financial independence.
Pos. Experiences,getting positive comments,,,,Receives positive comments.
Pos. Experiences,getting recognized,,,,Gets recognized.
Pos. Experiences,meeting new people,,,,Facilitates meeting new people.
Pos. Experiences,mental health,,,,Benefits mental health.
Pos. Experiences,monestisation,,,,Allows monetization opportunities.
Pos. Experiences,opportunities,,,,Creates career and personal growth opportunities.
Pos. Experiences,respect,,,,Earns respect.
Pos. Experiences,sense of responsibility towards audience,,,,Fosters a sense of responsibility towards the audience.
Pos. Experiences,society mindset changed for khwajasara community,,,,"Contributes to changing societal mindsets, such as for the khwajasara community."
Pos. Experiences,support from audience,,,,Receives support from the audience.
Pos. Experiences,way to express oneself,,,,Serves as a means of self-expression.
misc,,,,,
misc,change in attitude towards cc after starting cc,,,,Change in attitude toward content creation after becoming a content creator.
misc,define influencer,,,,"The personal definition of the term ""influencer."""
misc,defining their job title,,,,Self-definition of one's job title.
misc,has autism,,,,Identification as someone with autism.
misc,hesitant to speak up for others,,,,Hesitation to advocate for others.
misc,"labels oneself as ""influencer"" at some point",,,,"Self-labeling as an ""influencer"" at some point."
misc,negative connotation with word influencer,,,,"Experiencing a negative connotation associated with the term ""influencer."""
